Alive precision,AliveDate,Bio Name,BioSource,Biography,BirthDate,BornPrecision,Citation,DeathDate,DeathPrecision,FullTextPageNum,Index Category 1,IndexLifeCode,LifeLength,LifeLength Precision,LineNumber,NameInIndex,NameOnChart,On Chart: Line #,OnChartCategory,Region_final,Section starting Line,Sex or gender V2,UO_ID,VisualCase,WikiLink,aproxBirthDate,aproxDeathDate,case
,,,,,,,,-393.0,d.,42.0,,d.,,,142,Conon,Conon,15.0,Statesmen and Warriors,Turky in Europe,127.0,male,640.0,D,https://en.wikipedia.org/wiki/Conon,-438.0,-393.0,case2
,,Conon,Watkins,"An astronomer of Samos, who to gain the favour of Ptolemy Eruegetes affirmed that his queen Berenice's locks were formed into a constellation, he was the friend of Archimedes, and flourished 247 B. C.",,,,-223.0,d. af.,58.0,M,d. af.,,,84,Conon of Samos,Conon,15.0,Mathematicians &cc Physicians,,69.0,male,641.0,F,https://en.wikipedia.org/wiki/Conon_of_Samos,-268.0,-222.0,case8
,,"Conrad, Marquis of Montserrat, and Prince of Tyre",Crabb,"Distinguished himself very often against the infidels, and after obtaining the title of king of Jerusalem, he was assassinated in 1192 as is generally supposed by the Ismalians.",,,,1191.0,d.,58.0,,d.,,,142,Conrad of Montferat,Conrad M.,15.0,Statesmen and Warriors,Italy,127.0,male,642.0,D,https://en.wikipedia.org/wiki/Conrad_of_Montferrat,1146.0,1191.0,case2
,,Conrad IV. duke of Suabia,Watkins,"Was elected emperor of Germany after the death of his father Frederick II. in 1250. Pope Innocent IV. who claimed the right of disposing of the crown preached a crusade against him. Conrad marched into Italy, took Naples, Capua, and other places, but died soon after, not without suspicion of poison, in 1254.",,,,1254.0,d.,58.0,,d. (LL),25.0,,139,Conrad of Naples,Conrad,12.0,Statesmen and Warriors,Italy,127.0,male,643.0,C,https://en.wikipedia.org/wiki/Conrad_IV_of_Germany,1229.0,1254.0,case1
,,Conradin,Watkins,"Or Conrad the Younger, the son of the last-mentioned, was but three years old at the death of his father, who left the regency of the kingdom of Naples to Mainfroi his uncle. Urban IV. gave that crown to Charles of Anjou, who defeated Conradin in 1268, and caused him to be beheaded at the age of 16 years.",,,,1268.0,d.,58.0,,d.,,,136,Conradin,Conradin N.,9.0,Statesmen and Warriors,Germany,127.0,male,644.0,D,https://en.wikipedia.org/wiki/Conradin,1223.0,1268.0,case2
,,,,,,,,1380.0,d.,58.0,L,d. (LL),60.0,,3,Constantine Harmenopylus,Constantine Ib.,3.0,Historians and Antiquaries Lawyers,,0.0,male,645.0,C,https://en.wikipedia.org/wiki/Constantine_Harmenopoulos,1320.0,1380.0,case1
,,Constantine VII. (Porphyrogenitus),Watkins,"Son of Leo the Wise, was born in 905, and came to the throne, at the age of seven years, under the guardianship of his mother Zoe. He defeated the Lombards, and obliged the Turks to quit Italy, he was poisoned by his son Romanus in 959. Constantine wrote the Life of the Emperor Basilius the Macedonian; the Geography of the empire; on State Affairs, Sic.",,,,959.0,d.,58.0,H,d.,,,15,Constantine Porphyrogenita,Constantine Por.,15.0,Historians and Antiquaries Lawyers,,0.0,male,646.0,D,https://en.wikipedia.org/wiki/Constantine_VII,914.0,959.0,case2
,,Constantine the great,Watkins,"Emperor of the Romans was the son of Constantine Chlorus, by Helena, and born about the year 274. On the death of his father, in 306, he was proclaimed emperor by the army. He defeated the Franks, after which he crossed the Rhine and committed great ravages in Belgium. He married Fausta, the daughter of Maximum, in 307. His father-in-law taking advantage of his absence from Arles, where he held his court, seized the treasury and assumed the imperial title, but shortly after he was taken prisoner by Constantine, and strangled himself. A war now broke out between Constantine and Maxentius, the son of Maximian, on which the former marched into Italy, which he completely reduced, and in a battle near Rome, Maxentius was defeated and drowned in the Tiber. It is at this period that the tera of Constantine's conversion to Christianity by the supernatural appearance of a luminous cross in the heavens is fixed. But though the emperor himself related the circumstance to Eusebius, it stands on a weak foundation. After the death of Maxentius, he entered Rome in triumph, and received from the senate the rank of Augustus, in conjunction with Licinius and Maxintin, the former ol whom married his sister, Constantia. A civil war shortly after broke out between Licinius and Maximin, in which the latter was slain, licinius then formed a conspiracy against Constantine, which being discovered, war ensued between them, in which Constantine was successful, and peace was concluded. A second war broke out in 323, and terminated the defeat of Licinius, and his resignation of the Imperial dignity. Not long afterwards he was strangled. Having obtained possession of the empire, Constantine began to shew his regard for the religion which he had adopted, by building numerous churches, and taking a journey to Jerusalem to visit the holy sepulchre. While in the Holy Land he erected a magnificent church at Bethlehem. At this time the Christian world was disturbed by the disputes between the orthodox and the arians. At the head of the first stood Athanasius, to whom Constantine shewed but little favour, and consented to his banishment; but afterwards he condemned the doctrines of Arms, and adhered to the Nicene confession. With this zeal for religion he blended courage and justice. He conquered the Goths, and gave an asylum in his dominions to a number of Samaritans who had been driven from their own country. He founded Constantinople and performed many actions that entitle him to the name of Great, Yet he sullied his character by the murder of his son Crispus. He died in 337, aged 66.",,,,337.0,d.,58.0,,d. (LL),66.0,,146,Constantine the Great,Constantine,19.0,Statesmen and Warriors,Turky in Europe,127.0,male,647.0,C,https://en.wikipedia.org/wiki/Constantine_the_Great,271.0,337.0,case1
fl.,1090.0,"Constantine, called the African",Watkins,"A physician, was a native of Carthage, and well versed in the oriental languages. He settled at Salerno, where he entered into a monastery, and composed several medical pieces, chiefly translations from the Arabic writers. He died in 1087. His works were printed at Basil in 1582, folio.",,,Moreri,,,42.0,Ph,fl.,,,77,Constantino,Constantino,8.0,Mathematicians &cc Physicians,,69.0,male,648.0,A,https://en.wikipedia.org/wiki/Constantine_the_African,1060.0,1105.0,case3
,,Constantius (Chlorus),Watkins,"The son of Eutropius, and the father of Constantine the Great. He obtained the title of Caesar, from his victories in Germany and Britain; and on the abdication of Dioclesian was chosen the colleague of Galerius. He died at York in 306.",,,,306.0,d.,59.0,,d.,,,148,Constantius Chlorus,Constantius,21.0,Statesmen and Warriors,Turky in Europe,127.0,male,649.0,D,https://en.wikipedia.org/wiki/Constantius_Chlorus,261.0,306.0,case2
,,"Coke, Edward",Watkins,"An English judge, was born at Mileham, in Norfolk, in 1550, and educated at Trinity college, Cambridge, from whence he removed to Clifford's-inn, and afterwards to the Inner Temple. About 1578, he was chosen reader at Lyons inn. Soon after his admission at the bar he married a lady of fortune, who brought him ten children. In 1502 he was appointed solicitor-general; and, on losing his wife, he married, in 1598, the widow of sir Christopher Hatton and sister of Thomas lord Burleigh, afterwards earl of Exeter. In 1600 he prosecuted, as attorneygeneral, the earl of Essex, in which he behaved with uncommon asperity. Three years afterwards he received the honour of knighthood; and conducted the prosecution of sir Walter Raleigh, in a brutal manner. His speeches at the trial of father Garnett, and the other conspirators in the gunpowder plot, are deemed his masterpieces in that way. In 1606 he was appointed chief justice of the common-pleas; and in 1613 removed to the king's-bench, at which time he was sworn of the privy council. In the affair of sir Thomas Overbury's murder, he conducted himself with such spirit as to raise him many enemies, and soon afterwards he fell into disgrace for opposing the king's prerogative, and contending with the chancellor Egerton. In 1616 he was removed from his office, and to get into favour he projected a match between sir John Villiers, brother of the favourite, and his youngest daughter, which occasioned a quarrel between him and his wife. The lady left his house with her daughter, and sir Edward fetched back the latter by force, which occasioned his wife to complain of him to the privy-council. The affair was at last made up, and the marriage concluded. In the parliament of 1621 he joined the popular side; for which he was committed to the Tower, where he lay only a short time, but never recovered the good opinion of king James. In 1628 he was chosen knight of the shire for Buckingham, and distinguished himself by his zeal against the duke of Buckingham as the author of all the calamities of the nation. On the dissolution of that parliament he retired to his seat in Buckinghamshire, where he died in 1634. The first part of his reports appeared about 1600, and the last, or thirteenth, about 1655. His Institutes of the Laws of England are invaluable; the first is a translation and comment on sir Thomas Littleton's Tenures. There are also other law pieces of his in print.",,,,1634.0,d.,58.0,L,d. (LL),85.0,,1,"Cooke, Edward",Coke,1.0,Historians and Antiquaries Lawyers,Great Britain,0.0,male,650.0,C,https://en.wikipedia.org/wiki/Edward_Coke,1549.0,1634.0,case1
,,Copernicus (Nicholas),Watkins,"A famous astronomer, was born at Thorn in Prussia, in 1472. At the age of twenty-three he went to Italy, where he improved himself in astronomy and painting; and at Rome he obtained the professorship of mathematics. He returned to his own country after an absence of some years, and then set about reforming the system of astronomy, and the result was, that he completely overthrew the Ptolemaic system. His great work is entitled De Revolutionibus Orbium Caelestium. He died soon after its publication in 1543, aged 70. Copernicus was a canon of Worms, and well versed in the Greek and Latin languages, and in mathematics and philosophy.",,,,1543.0,d.,59.0,M,d. (LL),60.0,,92,Copernicus,Copernicus,23.0,Mathematicians &cc Physicians,Prussia,69.0,male,651.0,C,https://en.wikipedia.org/wiki/Nicolaus_Copernicus,1483.0,1543.0,case1
,,,,,,,,1312.0,d.,59.0,,d.,,,135,Coreggio of Parma,Corregio,8.0,Statesmen and Warriors,,127.0,,652.0,D,,1267.0,1312.0,case2
,,Corelli (Arcangelo),Watkins,"A celebrated musician, was born at Fusignano, a town of Bologna, in 1653, His principal instrument was the violin, on which he was supposed to be the first player in the world. After visiting several places he settled at Rome, where he was patronized by cardinal Ottoboni. He died in 1713. He left his pictures, and about 6000/. in money, to his patron, who kept the collection, but distributed the cash to Corelli's relations. His solos and concertos are in high esteem among the lovers of music.",,,,1733.0,d.,59.0,Mu,d.,,,69,Corelli,Corelli,26.0,Artists Poets,Italy,43.0,male,653.0,D,https://en.wikipedia.org/wiki/Arcangelo_Corelli,1688.0,1733.0,case2
fl.,650.0,,,,,,,,,59.0,Cr,fl.,,,37,Corinthus,Corinthus,15.0,Orators and Critics &cc,,22.0,male,654.0,A,https://en.wikipedia.org/wiki/Gregory_of_Corinth,620.0,665.0,case3
,,Coriolanus (Caius Martius),Watkins,"An illustrious Roman, who obtained that name from his valour at Corioli, where from a private soldier he was raised to military honour. When Gelo king of Sicily sent a quantity of grain to Rome as a present, Coriolanus imprudently advised that it should be sold, and not distributed gratis. For this he was tried and banished. He then went to Tullus king of the Volsci, whom he advised to make war upon the Romans. He became the general of the Volscian army, and upon his march was met by several ambassadors from Rome, who offered him liberal terms if he would return to his country; but he was inexorable, till his mother and wife, attended by the matrons of Rome, came to him in deep mourning. Their tears and entreaties prevailed, and he marched from the neighbourhood of Rome for which Tullus caused him to be murdered, B. C. 438.",,,Plutarch,-488.0,d.,59.0,,d.,,,148,Coriolanus,Coriolanus,21.0,Statesmen and Warriors,Italy,127.0,male,655.0,D,https://en.wikipedia.org/wiki/Gaius_Marcius_Coriolanus,-533.0,-488.0,case2
,,Cornaro (Lewis),Watkins,"A noble Venetian, who rendered nimself remarkable by protracting his life to a considerable length, by a course of regimen. He was born in 1467, and in his youth lived freely, which brought him into a bad state of health. On this, he formed the resolution of confining himself to twelve ounces of food and fourteen of wine daily, by which means and exercise he acquired a vigorous constitution. At an advanced age he wrote his popular book on Health and Long life, which has been translated into most languages; he also wrote a treatise on Waters, particularly the Lagunes about Venice. He died at Padua, in 1563, aged 98. His wive, who survived him, lived to about the same age.",,,Tiraboschi,1565.0,d.,59.0,Ph,d. (LL),100.0,,75,Cornaro,Cornaro,6.0,Mathematicians &cc Physicians,Italy,69.0,male,656.0,C,https://en.wikipedia.org/wiki/Luigi_Cornaro,1465.0,1565.0,case1
,,Corneille (Peter),Watkins,"A French poet of eminence, was born at Rouen in 1606, and brought up to the bar, which he quitted. His first dramatic piece was called Melite, after which he produced several celebrated performances, the most famous of which is the Cid, in 1687. In 1647 he was chosen member of the French academy. He died in 1684.",,,Moreri,1684.0,d.,59.0,P,d. (LL),78.0,,45,Corneille,Corneille,2.0,Artists Poets,France,43.0,male,657.0,C,https://en.wikipedia.org/wiki/Pierre_Corneille,1606.0,1684.0,case1
fl.,-30.0,"Cornificius, Q",Crabb,"A general and a poet in the age of Augustus, who was employed to accuse Brutus and others. Of his writings, which were much esteemed in their day, nothing remains but a few letters to his friend and correspondent Cicero, with whom he was colleague in the augurship, and a competitor for the consulship. His sister Cornificia, is also said to have had a talent for poetry.",,,,,,59.0,Cr,fl.,,,29,Cornificius,Cornificius,7.0,Orators and Critics &cc,Italy,22.0,male,658.0,A,https://en.wikipedia.org/wiki/Quintus_Cornificius,-60.0,-15.0,case3
,,Correggio (Antonio Allegri da),Watkins,"A famous painter, so called from the place of his birth in the Modenese, 1494. His real name was Allegri. It is not known under whom he studied, and it is supposed that he was principally self-taught. He lived in obscure circumstances, and never visited Rome or Venice; yet his manner is beautiful, and his ideas uncommonly grand. No one ever excelled him in expressing the delicacy of flesh, and his knowledge of the clair-obseure was surprising. The occasion of his death was remarkable. Having received at Parma a payment of sixty crowns in copper money, he carried it home on his back, about twelve miles, in the heat of the day, which, with drinking cold water, threw him into a fever, of which he died in 1534.",,,,1534.0,d.,59.0,Pa,d. (LL),40.0,,68,Correggio,A. Correggio,25.0,Artists Poets,Italy,43.0,male,659.0,C,https://en.wikipedia.org/wiki/Antonio_da_Correggio,1494.0,1534.0,case1
,,Cortes (Ferdinand),Watkins,"A celebrated Spanish adventurer, was born in Estremadura, in 1485. His family was respectable but not opulent, and he was bred at Salamanca to the law, which he renounced for the military life. The governor of Hispaniola was his relation; and Cortes in 1504 went to St. Domingo, where he was appointed to several valuable posts. In 1511 he accompanied Velasquez in his expedition to Cuba, and displayed so much skill and bravery as to be rewarded with the grant of a quantity of land. The conquest of Mexico being resolved upon, Cortes was chosen to conduct the enterprise, and he embraced it with ardour. He left Cuba on this great design in 1519, with a fleet of eleven small vessels, and 617 men, soldiers and sailors. Thirteen soldiers only were armed with firelocks, but they had ten small field-pieces, and sixteen horses; such was the army for the conquest of an extensive and populous empire. The Spaniards first landed at Tabasco, where, after several bloody battles, they compelled the natives to submit to their yoke. From thence they sailed to St. Juan de Ulva, in the bay of Mexico, where Cortes was met by several messengers from the governors of the province; but he assumed to himself the title ambassador of the king of Castile and insisted on being introduced to Montezuma, the emperor, for which purpose he intended to march to the capital. The governors, alarmed, endeavoured to dissuade him from this purpose, but sent by the emperor only served to inflame the avarice of the Spaniards still more. After several negotiations, Montezuma perceiving their treacherous designs broke off all intercourse with them. Cortes in the mean time had erected a setlement on the coast, to which was given the name of Vera Cruz. Here he formed a civil government, and declared himself independent of the governor of Cuba. The Zempoallans and other tribes of Indians being dissatisfied with the government of Montezuma, courted an alliance with the strangers. Thus strengthened, Cortes destroyed his ships, thereby compelling his men to exercise their fortitude and valour, as well as confidence in the skill and courage of their leader. At the head of five hundred Spaniards indifferently armed, with fifteen horses, Cortes marched up the country, where he was opposed by the Tlascalans a warlike nation, who were the enemies of Montezuma, but resolved to defend their country against these invaders. After several battles, in which the Spaniards met with no loss, peace was concluded, by which the Tlascalans acknowledged themselves vassals to Spain. Cortes, flushed with this success, proceeded to Cholula, in the Mexican empire, where he was received with hospitality, which he rewarded by massacring the inhabitants. From thence the Spaniards pushed on to Mexico, and at the gates were met by Montezuma himself splendidly arrayed, who gave them an amicable reception. Soon after, Cortes adopted the plan of seizing the emperor, and actually carried it into effect. For five months Montezuma was kept prisoner in his capital by a handful of men, who compelled him to acknowledge himself a vassal of the king of Castile. While Cortes was at Mexico, Velasquez sent out an armament under Narvaez, with orders to send him prisoner to Cuba. When Cortes heard that Narvaez was landed he left a small force under Alvarado, to take charge of the emperor and hastened to Vera Cruz, where, by a stratagem, he took the army sent against prisoners. By his lenient conduct on this occasion he prevailed upon these men to enter into his service, and thus acquired a great accession of strength. During his absence from Mexico, Alvarado massacred a number of Mexicans, at a religious festival, which occasioned hostilities, and several of the Spaniards were killed. Cortes hastened to his old quarters, and the war raged with the greatest fury. Though the artillery swept off prodigidus numbers, the Mexicans attacked the Spaniards with so much fury, that Cortes began to be alarmed, and caused the emperor in his royal robes to appear upon the battlements in hopes that the assailants, out of reverence to their monarch, would yield or retire. But this sight served the more to encourage them, and they renewed the attack with additional fury, in which Montezuma received a mortal wound. In the night Cortes retreated from Mexico, but the Mexicans sallied after the Spaniards and commited a dreadful slaughter. Reduced to half his men, and having lost most of his baggage, Cortes retreated to Tlascala, but by the way met with a prodigious army, which he charged with impetuosity, and completely routed. This is called the battle of Otumba. The disasters he had experienced did not damp the ardent spirit of Cortes, who, having collected 550 infantry and forty horse, with a large body of Tlascalans, began his march towards Mexico in December 1520. Montezuma was succeeded by Guatimozin, his son-in-law, a brave young prince, who made every preparation against the expected return of the Spaniards. After taking Texuco, the second city of the empire, Cortes sat down before Mexico, and proceeded by a regular siege; during which, he received a considerable reinforcement from Vera Cruz. The Mexicans were driven to a hopeless stat, and Guatimozin was taken in a canoe, in the act of making an escape. On this the capital surrendered, and the empire of Mexico ended. Though the plunder was immense, the avarice of the Spaniards was not satisfied, and Cortes put the unhappy Emperor to the torture, to make him confess where he had concealed his treasures. Guatimozin, however, endured his sufferings with fortitude, and nothing could wrest from him a complaint or a discovery. He was afterwards, hung with two of his officers on a pretended charge of conspiracy. While Cortes was thus engaged, a commision came from Spain to deprive him of his command, but this he contrived to elude, and afterwards obtained from Charles V. the appointment of govenor of New Spain. His conduct to the natives was infamous and in one execution he committed sixty caciques and 400 other principal persons to the flames. A new commision at last arrived against him, on which he returned to Spain to vidicate himself in 1528. Having made his defence to the stisfaction of Charles, he was created a marquis, and obtained a large grant of land in New Spain, whither he made a new voyage in 1530. He returned to his own country in 1540, and died in 1547, leaving several legitimate children, and some by his two Indian mistresses, Marina, and a daughter of Montezuma.",,,,1554.0,d.,59.0,,d. (LL),62.0,,133,Cortes,Cortez,6.0,Statesmen and Warriors,Spain,127.0,male,660.0,C,https://en.wikipedia.org/wiki/Hern%C3%A1n_Cort%C3%A9s,1492.0,1554.0,case1
,,"Messala, M. Valerius Corvinus",Crabb,"Sister of the preceding (Julia, Soemia in Crabb), and mother of Alexander Severus, a woman of great virtue and wisdom, had so much the confidence of her son, that he did nothing without her counsel. She was killed with him at Mentz by the soldiers, who revolted at the instigation of Maximinus. It is asserted by many authors that she was a Christian.",,,,9.0,d.,59.0,H,d. (LL),75.0,,17,"Corvinus, Messala",M. Corvinus,17.0,Historians and Antiquaries Lawyers,Italy,0.0,male,661.0,C,https://en.wikipedia.org/wiki/Marcus_Valerius_Messalla_Corvinus,-66.0,9.0,case1
,,Corvinus,Crabb,"A name given to M. Valerius, from Corvus a crow, which assisted him when he was fighting against a Gaul.",,,,298.0,d. af.,59.0,,d. af. (LL) ab.,100.0,ab.,154,"Corvus, Valerius",Val. Corvus,27.0,Statesmen and Warriors,Italy,127.0,male,662.0,J,https://en.wikipedia.org/wiki/Marcus_Valerius_Corvus,198.0,299.0,case8
fl.,730.0,Cosmus,Crabb,"Surnamed the Egyptian, because he was a native of Alexandria, and Indopleustes, or Indicopleustes, on account of his travels to India; lived in the sixth century, and wrote, among other things, a work entitled 'Christian Topography,' &c. published by Montfaucon in his 'Nova Colectio Patrum,' Vol. II.",,,,,,59.0,P,fl.,,,50,"Cosmas, Monachus",Cosmas,7.0,Artists Poets,Africa,43.0,male,663.0,A,https://en.wikipedia.org/wiki/Cosmas_Indicopleustes,700.0,745.0,case3
,,Medicis (Cosmo),Watkins,"Called the elder, the founder of an illustrious family at Florence, was a merchant, and born in 1399. He acquired great wealth, which he appropriated to the noble purposes of advancing learning, and supporting learned men. He collected a noble library, which he enriched with inestimable manuscripts. The envy excited against him by his riches, raised him many enemies, by whose intrigues he was obliged to quit his native country. He then retired to Venice, where he was received as a prince. His fellow-citizens afterwards recalled him, and he bore a principal share in the government of the republic thirty-four years. He died in 1464. On his tomb was engraved this inscription: The Father of his People, and the Deliverer of his Country.",,,Moreri,1464.0,d.,59.0,,d. (LL),75.0,,137,Cosmo de Medicis,Cosmo Med:,10.0,Statesmen and Warriors,Italy,127.0,male,664.0,C,https://en.wikipedia.org/wiki/Cosimo_de%27_Medici,1389.0,1464.0,case1
,,Cotes (Roger),Watkins,"A mathematician, was born in 1682 at Burbage in Leicestershire. After receiving a preparatory education, he was removed to Trinity college, Cambridge, of which society he became fellow in 1705, and at the same time was tutor to the sons of the marquis of Kent, to which family he was allied. The next year he was chosen Plumian Professor of astronomy and experimental philosophy. In 1706 he took his degree of M. A. and in 1713 entered into orders. The same year he published a new edition of Newton's Principia, with a learned Preface. He died in 1716, and was buried in the chapel of Trinity college. His Harmonia Mensurarum was printed at Cambridge in 1722, 4to.; and his Hydrostatical and Pneumatical Lectures in 1737.",,,,1716.0,d.,59.0,M,d. (LL),33.0,,90,"Cotes, Roger",Cotes,21.0,Mathematicians &cc Physicians,Great Britain,69.0,male,665.0,C,https://en.wikipedia.org/wiki/Roger_Cotes,1683.0,1716.0,case1
,,Cotton (sir Robert Bruce),Watkins,"A famous antiquary, was born at Denton in Huntingdonshire in 1570, and educated at Trinity college, Cambridge, from whence he removed to London, and became a member of the society of antiquaries, then just formed. James I. honoured him with knighthood; and in 1608 he was made one of the commissioners to enquire into the state of the navy. In 1611 he was created a baronet. He was a member of the first parliament of Charles I. and joined the opposition party. In 1629 he was brought before the privy council on a charge of having lent a dangerous manuscript, in which a method was laid down how the kings of England might oppress the liberties of their subjects. This MS. was, in fact, in his library, and had been lent by his librarian without his knowledge. His library, however, was sealed up, and he was sent to the Tower; but soon released. He died in 1621. His inestimable library is now in the British Museum.",,,,1631.0,d.,59.0,Ant,d. (LL),60.0,,19,"Cotton, Robert",Cotton,19.0,Historians and Antiquaries Lawyers,Great Britain,0.0,male,666.0,C,"https://en.wikipedia.org/wiki/Sir_Robert_Cotton,_1st_Baronet,_of_Connington",1571.0,1631.0,case1
,,Cowell (John),Watkins,"An English civilian, was born in Devonshire about 1554, and brought up at Cambridge, where he became professor of civil law, and master of Trinity hall. In 1607 he published his Interpreter, or an Explanation of Law Terms. The house of commons caused this book to be burnt on account of its being too favourable to the regal prerogative. He died in 1611. He also wrote Institutes of the Laws of England, 1605.",,,,1611.0,d.,59.0,L,d. (LL) ab.,61.0,ab.,3,Cowel,Cowel,3.0,Historians and Antiquaries Lawyers,Great Britain,0.0,male,667.0,H,https://en.wikipedia.org/wiki/John_Cowell_(jurist),1550.0,1611.0,case4
,,Cowley (Abraham),Watkins,"An English poet, was born in London in 1618, and educated at Westminster school. At the age of 15 he published a small collection of poems, entitled Poetical Blossoms. From Westminster he removed to Trinity college, Cambridge, where he wrote several of his pieces. In 1643 he was ejected from the college for his loyalty, and then went to Oxford, where he materially served the royal cause. He afterwards removed to France in the family of the earl of St. Albans. In 1656 he returned to England, and was soon after committed to prison, front whence he was bailed by Dr. Scarborough. Next year he went to Oxford, and obtained the degree of M.D. On the death of Cromwell he again visited France, but returned at the Restoration, and obtained a lease of a farm at Chertsey, valued about 300/. a year, where he died in 1667. His remains were deposited in Westminster abbey where is a monument to his memory. Dr. Johnson places Cowley at the head of those whom he calls metaphysical poets; but though he is sometimes sublime, always moral, and frequently witty, yet his poems are tedious and affected. The anacreontics are reckoned the best. He also wrote a comedy called the Cutter of Colman street, and some pieces in prose, particularly a Discourse on the Government of Cromwell, and a Proposition for the Advancement of Experimental Philosophy.",,,,1667.0,d.,59.0,P,d. (LL),48.0,,53,Cowley,Cowley,10.0,Artists Poets,Great Britain,43.0,male,668.0,C,https://en.wikipedia.org/wiki/Abraham_Cowley,1619.0,1667.0,case1
fl.,-1045.0,,,,,,,,,59.0,,fl.,,,146,Cranaus,Cranaus,19.0,Statesmen and Warriors,,127.0,male,670.0,A,https://en.wikipedia.org/wiki/Cranaus,-1075.0,-1030.0,case3
,,Cranmer (Thomas),Watkins,"Archbishop of Canterbury, was born at Aslacton, in Nottinghamshire, in 1489, and educated at Jesus college, Cambridge, where he proceeded to the degree of D.D. The opinion which he gave on the question of Henry VIIIth's divorce recommended him to that monarch, who employed him to vindicate the measure, and sent him to the foreign universities to obtain their opinion upon the point. At Rome he presented his book on the divorce to the pope, and offered to justify it in a public disputation, but none was appointed. In Germany he married a niece of Osiander: and during his abode there, archbishop Warham died, on which the king nominated Cranmer to that dignity, which he endeavoured to decline. In 1533 he was consecrated, and though he received the customary bulls from the pope, he protested against submission to his authority. The first service in which he was employed was to pronounce the divorce between the king and Catherine. He furthered the Reformation with zeal, tempered with judgment and moderation. That valuable work, the Erudition of a Christian Man, was set forth by him, and by his means the Bible was translated and read in churches. Though he was esteemed by the king for his piety and integrity,' he occasionally offended him by his opposition to the six bloody articles, and to the alienation of the abbey lands to secular uses. The archbishop wished to appropriate them to the advancement of learning and religion. Bishop Gardiner, and others, accused him to the privy council of heresy and faction, and after being ignominiously suffered to remain among the footmen for some time, he was called in, and the lords were about to send him to the Tower, when the archbishop confounded them, by producing the king's own ring, given him for that purpose. By Henry's wall he was appointed one of the regency, and as Edward VI. was brought up chiefly under the archbishop's care, the Reformation in his reign assumed a consistent form; the liturgy, homilies, and articles of religion, were framed; in all of which Cranmer had a principal hand. He also published an excellent work, entitled, ""The true and Catholic Doctrine of the Sacrament of the Body of our Lord Jesus Christ."" When Edward was prevailed on to alter the succession in favour of lady Jane Grey, the archbishop opposed it for a considerable time, and it was not till the judges had given their opinion in favour of its legality, that he subscribed his name, with the other members of the council, to the deed. On the accession of Mary, our prelate was ondemned first for treason, and pardoned; but another charge was brought against him of heresy, and he was sent to the Tower, from whence, with Fridley and Latimer, he was removed to Oxford, to hold a public disputation. This was a solemn mockery, for the fate of these holy men was already fixed. The archbishop was tried by the pope's commissioners, and convicted, after which he was degraded by Bonner and Thirlby with insolent rudeness. He was kept in prison three years, and after the most rigoroius measures had been made use of to prevail upon him to abjure his errors, more lenient ones were adopted. These were again changed, and he was removed to a filthy prison, where be suffered such uncommon hardships, that he was induced to sign the instrument of abjuration on the promise of life. But this was an act of treachery, to procure the papists a momentary triumph, which turned to their own disgrace. The archbishop was brought into St. Mary's church to read his recantation in public, where, after a long sermon preached by Dr. Cole, a noted persecutor of that reign, Cranmer, instead of doing what was required, with many tears beseeched God's forgiveness For the apostacy of which he had been guilty, and exhorted the people against the errors of Rome. This greatly enraged his adversaries; who, after vilifying him as a hypocrite and heretic, dragged him to the stake, opposite Balliol college, which he approached with a cheerful countenance, and endured the fire with patience and fortitude, holding his hand in the flame, and often exclaiming, ""This unworthy hand!"" and raising his eyes to heaven, expired with the dying prayer of the first martyr of the Christian church, ""Lord Jesus, receive my spirit,"" March 21, 1555. He was a man of great learning, deeply read in the canon law, of unimpeachable integrity, and of so meek and generous a temper, that it was a common saying, ""Do my lord of Canterbury an ill turn, and he will be your friend ever after.""",,,,1556.0,d.,59.0,D,d. (LL),67.0,,114,Cranmer,Cranmer,15.0,Divines and Metaphysicians &cc,Great Britain,99.0,male,671.0,C,https://en.wikipedia.org/wiki/Thomas_Cranmer,1489.0,1556.0,case1
,,Crantor,Crabb,"A philosopher of Soli, who was among the pupils of Plato, whose treatise on Consolation is much commended by Cicero.",,,,-272.0,d. ab.,59.0,HP Ac,d. ab.,,,113,Crantor,Crantor,14.0,Divines and Metaphysicians &cc,,99.0,male,672.0,E,https://en.wikipedia.org/wiki/Crantor,-317.0,-272.0,case2
,,Albert (Krantz),Watkins,"Professor of divinity at Hamburgh. He wrote the ""History of Saxony, and of the Vandals,"" ""A Chronicle from Charlemagne to 1504,"" &c. Hi died in 1517.",,,,1517.0,d.,59.0,H,d.,,,14,Crantzius,Crantzius,14.0,Historians and Antiquaries Lawyers,Germany,0.0,male,673.0,D,https://en.wikipedia.org/wiki/Albert_Krantz,1472.0,1517.0,case2
