ALTERNATE_ID,ALTERNATE_NAME,BIO,Biography source,SOURCE,PDF_page_#
102,"Lascaris, John surnamed Ducas","Succeeded his father, but was despoiled of his throne by Michael Palaeologus.",Crabb,,"239, Vol 2"
103,"Leicester, Robert Dudley, Earl of","Younger son of John, duke of Northumberland, being much favoured by queen Elizabeth, aspired to become her husband, and refused the offer which was made to him of queen Mary's hand. He died in 1588, after having spent his whole life in the service of his sovereign, whose favour he enjoyed, notwithstanding all the attempts of his enemies to ruin his interest.",Crabb,,"246, Vol 2"
104,Leontius,"A patrician of Constantinople, caused himself to be crowned king in 482, during the reign of Zeno; but being defeated in the field, and compelled after a four years siege in the city of Tarsus to surrender, he was beheaded in 488. ",Crabb,"Evag. Hist. Eccles. 1. 3; Niceph. 1. 16;
Cedrenus; Theophan, &c.","252, Vol 2"
105,Linus,"A son of Ismenias, and native of Thebes, who is said to have taught music to Hercules, by whom he was killed in a fit of anger. Diogenes makes him to be son of Mercury and Urania, and to have been killed by Apollo, for presuming to compare himself to him. ",Crabb,Apollod. 1. 2; Virg. Ecl. 1. 4; Paus. 1. 2.,"265, Vol 2"
106,"Lucullus, Lucius Licinius","A Roman general celebrated for his military talent, and his luxurious habits. He was a consul, U. C. 680, A. C. 74, and obtained the most splendid victories over Mithridates, both by sea and land; but rendering himself offensive to the soldiers by his severity and haughtiness, he was recalled, and died in the 67th or 68th year of his life. ",Crabb,"Cic. pro Arch. c. 4, &c.; Plin. 1. 36; Tacit. Annal. 1. 6; Appian. in Mithrid.","283, Vol 2"
107,Malchus,"A sophist of Byzantium, in the fifth century, was the author of a Roman History, mentioned by Anastasius.",Crabb,Phot. Bibl. c. 78; Suidas; Voss.de Hist. Graec. 1. 2.,"307, Vol 2"
108,Malcom I,"Son of Dongal, or Donald VI succeeded Constantine II, and reigned 15 years. The effigy of this and the following princes are given, as in the annexed cuts.",Crabb,,"307, Vol 2"
109,Malcom III,"Surnamed Canmore, the son of Duncan, fled to his principality in Cumberland from the violence of Macbeth, the murderer of his father, and the usurper of his throne, but encouraged by Macduff, a nobleman, who remained faithful to him, he invaded Scotland, with the assistance of the court of England, when Macbeth was killed in a sally, by Macduff, and Malcolm mounting his father's throne, was treacherously slain in 1094, after a reign of 36 years.",Crabb,,"307, Vol 2"
110,"Malec, Shah","Third sultan of the race of the Selgiucides, and son of Alp Arslan, who, although not the eldest son, was declared by his father his successor, and taking possession of his dominions, was invested by the caliph with all his honours as Emir-Elmumen, in the year of the Hegira 465, A. D. 1075, and died in the year of the Hegira 485, after a warlike and successful reign, in which he defeated all his enemies.",Crabb,,"307, Vol 2"
111,Marcellinus ,"A Greek author, of whose writings there remains a Dissertation on the Life of Thucydides, on
his Style, and also Commentaries on the Rhetoric of Hermogenes. Gesner supposes this writer to be the same as Ammianus Marcellinus.",Crabb,,"315, Vol 2"
112,"Lupus, Servatus","a French abbot in the ninth century, celebrated for his learning, eloquence, and piety, was descended from a considerable family in the diocese of Sens, and born about the commencement of the century. After having received a learned education, he embraced the ecclesiastical life in the abbey of Ferrieres, under Alaric ur Aldric, who was then abbot, and afterwards archbishop of Sens. About the year 828 he went from this monastery to the abbey of Fulda, in Germany, where he studied the Scriptures under the celebrated Rabanus, who at his request composed his ""Commentaries upon the Epistles of St. Paul."" Lupus, who was yet only a deacon, ably profited by the instructions of this learned man, and returned to France in the year 836, with a high reputation for his proficiency in scriptural knowledge. Soon afterwards he was introduced to the empress Judith, who presented him to the emperor Lewis the Debonfiaire, at whose court he continued for some time, in the expectation of preferment. In the year 842, he was fixed upon by Charles the Bald to supersede Odo in the abbacy of Ferrieres, whom that prince was determined to deprive of his monastery, on account of his having embraced the party of Lotharius. Odo, however, resisted his taking possession, till compelled by imperial power to quit the field. In the year 844, Lupus assisted at the council of Verneuil, and was selected to draw up the canons of the council. He also assisted at other assemblies of the French bishops, particularly at the council of Soissons, in 853. Some time before the year 855, he was sent ambassador from Charles the Bald to pope Leo IV.; and that prince afterwards gave him a commission, jointly with the celebrated Prudentius, to reform all the monasteries in France. These two illustrious characters were zealous defenders of St. Augustine's doctrine of grace. The time of his death is uncertain; but he was living at the close of the year 861, and maintained a high reputation, not only for his extensive acquaintance with profane and general literature, but for his knowledge of the doctrine and discipline of the church, of the writings of the Latin fathers, and his extraordinary sanctity of manners. A collection has been made of 130 of his ""Letters,"" upon different subjects, relating to difficulties in grammar, civil and ecclesiastical affairs, points of doctrine, discipline and morals; which are written with solidity, correctness, and elegance, and throw considerable light on the history of the period in which he lived. They were first published by Papirius Masson in 1588, in an octavo volume, and afterwards, in a much more correct state, by Andrew du Chesne, in the third volume of his ""Collection of French Historians."" There are also still extant, by Lupus, ""A Book of the three Questions,"" relating to free will, predestination, and the redemption by the blood of Christ, written against Godeschalc; two ""Letters,"" one to Charles the Bald, and another to Hincmar, bishop of Rheims, first published by father Sirmond in 1648; ""The Life of St. Wigbert, Abbot of Fritzlar;"" and ""The Life of St. Maximin, Bishop of Treves,"" published by Busaeus, in 1602. In 1664, M. Baluze printed a neat edition of all the works of Lupus, in one vol. 8vo. enriched with learned and curious notes, and some additional fragments at the end of the volume; which is inserted in the fourteenth volume of the "" Bibl. Patr."" ",Aikin,Caves Hist. Lit. vol. II. sub saec. Phot. Dupin. Moreri. Nouv. Dict. Hist. M.,3703
113,Lycaon,"A king of Arcadia, celebrated for his cruelties, who is said to have been changed into a wolf by Jupiter on account of his serving up human flesh on his table. According to some accounts he was the first king of Arcadia, and son of Pelasgus; but, according to others, they were distinct persons. ",Crabb,"Apollod. 1.3; Hygin. Fab. 176; Paus. 1.8, &c.","286, Vol 2"
114,Lycon,"A philosopher of Troas, and son of Astyanax, in the age of Aristotle, who was greatly esteemed by Eumenes, Antiochus, and other princes. ",Crabb,Cic. Tusc. 1.3; Diog. in Vit.,"286, Vol 2"
115,Lycortas,"The father of Polybius, who flourished A. C. 184. He was chosen general of the Achaean League, and revenged the cause of Philopoemen.",Crabb,Plut. in Philop.,"287, Vol 2"
116,Lysias,"A friend and relation of Antiochus Epiphanes, who at the death of the latter, took possession of the government during the minority of voting Antiochus. He waged an unsuccessful war against the Maccabees, by whom he was frequently beaten, as were also the generals acting under him, wherefore he finally concluded a peace with them, on conditions highly advantageous to the Jews, A.M. 3481, A. C. 163. Lysias was afterwards killed by Demetrius, the son of Seleucus.",Crabb,1 Mace. vi. &c.; Joseph. Antiq. 1. 2; Appian. in Syriac.,"289, Vol 2"
117,"Macer, C. Licinius","An orator, condemned for extortion during Cicero's praetorship. ",Crabb,"Cic. Attic. 1.1, ep. 4; Val. Max:. 1.9.","294, Vol 2"
118,"Mahmud, Gazni","Called also Soltan Mahmud, son of Sabektigen, and the first sultan of the race of the Gaznevides, of whose power his father laid the foundations, no sooner succeeded to the dominions of the latter in Chorasan than he penetrated into India, where he made considerable conquests, and died in the year of the Hegira 421, A. D. 1031, after a reign of 31 years, during which he was very successful as a warrior.",Crabb,,"301, Vol 2"
119,Paneus,"A painter, who painted the battle of Marathon, and other things, which adorned the temple of Jupiter Olympius",Crabb,,"456, Vol 2"
120,"Marcellus, M. Claudius","Grandson of the preceding, and son of Marcellus by Octavia, the sister of Augustus, though early betrothed to Pompeia, the daughter of Sex. Pompey, nevertheless married Julia, the emperor's daughter, and was destined to be his successor if he had not been snatched away by an untimely death. His effigy is given as in the annexed figure.",Crabb,,"316, Vol 2"
121,"Marcullus, Michael Tarchionota","One of the Greek refugees, who, on the capture of Constantinople, his native city, retired into Italy, and was drowned accidentally in 1502 in a river of Tuscany. He wrote four books of Epigrams in Latin, and as many of Hymns, which were published at Florence in 4to. 1497.",Crabb,,"327, Vol 2"
122,Marcianus of Heraclea,"An author of a Periplus of the External Sea, of whose age nothing certain is known, but he is supposed to have flourished after Ptolemy, and before the reign of Constantine the Great. This Periplus was published by Morell in Gr. and Lat. 8vo. Paris. 1606, and inserted, with Hudson's Latin translation, in the first volume of the 'Geographi Antiqui Minores,' 4 vols. 8vo. Oxon. 1698-1703.",Crabb,,"317, Vol 2"
123,Masinissa,"A son of Gala, king of a small part of Africa, who assisted the Carthaginians in their wars against Rome, was, by an act of generosity on the part of the former, converted into an active ally, in consequence of their releasing his nephew, who had been a prisoner in the service of Asdrubal. He contributed on several occasions to the successes of the Romans, particularly at the battle of Zama against the great Annibal. At his death, which happened A. C. 149, in the 90th year of his age. Masinissa entrusted the care of his kingdom to Scipio Aemilianus, empowering him to divide it among his three sons. Scipio faithfuly executed his will; but the death of the two youngest, Gulussa and Manastabel, left Micipsa sole possessor of his dominions. ",Crabb,"Polyb. 1.3, &c.; Cic. de Senect. c. 10; Val. Max. 1.8; Sallust. in Jugurth.; Liv. 1.25; Strab. 1.17; Justin. 1.33; Appian. in Lybic.","329, Vol 2"
124,"Mandeville, Sir John","An English traveller, and native of St. Alban's, descended from an ancient family in the 14th century, left England in 1322 to visit foreign countries, and returned at the end of 30 years, after having
been long reputed dead. He went afterwards to Liege, where he passed under the name of Joannes de Barbam, and died about 1372, according to the inscription on his tomb, given by Vossius. His account of his travels, which he originally wrote in Latin, was translated into French, and from the French into English. The English edition was publislied under the title of 'The Voyage and Travaile of
Sir John Maundeville, Knight, which treateth of the Way to Hierusalem,' &c. 4to. Lond. 1568, and 1684; and 8vo. 1727. All these are in the British Museum, together with copies of the French, Spanish, Latin, and Italian translations. Of the last, two editions were printed at Venice in
8vo. 1537 and 1567.",Crabb,,"311, Vol 2"
125,"Maximus, St.","An abbot of the seventh century, of an ancient family of Constantinople, opposed the errors of the Monothelites with so much zeal that the emperor Constantine, who was a favourer of their notion, caused his hands to be cut off; and his tongue cut out, after which he died in prison in 662. He left several works which were published in 2 vols, by P. Combefis. ",Crabb,Anastas. Biblioth.; Theophan. Chron.; Phot. Cod.; Baron. Annal. &c.,"336, Vol 2"
126,Meleager,"A celebrated hero of antiquity, son of Oeneus, king of Aetolia, by Althaea, daughter of Thestius, who, after having signalized himself in the Argonautic expedition, rendered his name still more memorable by killing the Calydonian boar. He is said to have died agreeably to the prediction of Atropos, one of the Fates, who had declared he should live as long as a brand, which was on the fire, remained unconsumed. His mother accordingly snatched this brand from the flames, and preserved
it with the utmost care until, in a moment of resentment at the assassination of her two brothers by Meleager, she threw it into the fire, when Meleager perished with it.",Crabb,Hom. Il. 1. 9; Apollon. Argon. 1. 1; Apollod. 1. 1; Hygin. Fab. 14; Paus. 1. 10; Nicand. apud Anton. Liberal.,"343, Vol 2"
127,Menedemus,"Socratic philosopher of Eretria, who flourished in the 120th Olympiad, about 300 years A. C. who was jocosely styled the Eretrian Bull, from the gravity of his face. ",Crabb,Strab. 1. 9; Diogen. in Vit.,"346, Vol 2"
128,Metrocles,"a cynic philosopher, and a disciple of Theophrastus, who suffocated himself to death when he became old and infirm. ",Crabb,Diogen. Laert.,"353, Vol 2"
129,"Herennius, Modestinus","A lawyer in the reign of Alexander Severus, with whom he was in great favour. He left several works which are not now extant. ",Crabb,"Lampridius, Capitolinus, &c.","118, Vol 2"
130,Moeris,"A king of Egypt, the last of the 300 kings from Menes to Sesostris, who reigned 68 years.
",Crabb,Herodot. 1. 2.,"362, Vol 2"
131,"Al Moez, Ledina'llah","The first Fatemite caliph of Egypt, succeeded his father Abu Thaher in the year of the Hegira 341, A. D. 961, and died after a reign of 24 years, in which he conquered all Syria and Egypt.",Crabb,,"128, Vol 1"
132,Mordecai,"Son of Jair, of the race of Saul, and a chief of the tribe of Benjamin, who was carried captive to Babylon by Nebuchadnezzar, and of whom a particular account is given in the book of Esther.",Crabb,,"375, Vol 2"
133,"Mortimer, Roger","Earl of March, was declared successor to the crown by Richard II, but killed in an insurrection in Ireland. His sons were confined in Windsor Castle by Henry IV.",Crabb,,"380, Vol 2"
134,"Moschopoulos, Emanuel","The name of two authors, the first of whom, a native of Candia, flourished in
the 14th and 15th centuries, and left a work entitled 'Quastiones Grammaticit,' 1392; the second, who was his nephew, was born at Constantinople, which he left for Italy in 1455. He was the author of 'Lectiones Atticae.'",Crabb,,"381, Vol 2"
135,Myron,"A statuary of Eleutherae, in Boeotia, who made a cow so resembling life, that bulls were deceived by it. He flourished about 442 years A. C. .",Crabb,Cic. in Verr. 4; Juv. Sal. 8; Antholog.; Plin. 1.34;,"390, Vol 2"
136,Nabonides or Nabonadius,"Called Labynetus by Herodotus, Nabannidoch by Abydenus, and Belchazzar by Daniel. He succeeded Laborosoarchod, who is probably the same as Evilmerodach, king of Babylon, A. M. 3449, A. C. 555, and reigned 17 years, according to Berosus and the canon of Ptolemy. Under him Babylon was taken by Cyrus, A. M. 3466. ",Crabb,"Berosus, Josephus, Ptolem. Canon Astron., Sulpitus Severus, S. Maximus, Scaliger, Petavius, Usserius, Marsham, &c.","391, Vol 2"
137,Nealices,"A painter, among whose master-pieces are reckoned a painting of Venus, a sea-fight between the
Persians and the Egyptians, &c. ",Crabb,Plin. 1. 35.,"399, Vol 2"
138,"Nemesianus, Aurelius Olympius","A Latin poet, and native of Carthage, in the reign of Carus, whose poem, entitled
'Cynegcticon,' and four eclogues, are still extant. They were published by Paulus Manutius in 1538; by Bertholet in l613; and with the notes of Janus Vlitias, Lugd. Bat. 1653. This Nemesianus was also author of two other poems mentioned by Vopiscus, namely Alieutica and Nautica. There was likewise another poet of the same name, and of the same age, who wrote a piece entitled,
'Ixeutica,' which is published among the 'Poeta Rei Venaticae, 4to. Lugd. Bat. 1528; and among the 'Poet. Lat. Min.' 4to. Lugd. Bat. 1731. ",Crabb,Vopisc. in Vit. Numerian.,"402, Vol 2"
139,Oedipus,"a son of Laius, king of Thebes, and Jocasta, so called [Greek language name] a tumore pedum, the swelling of his feet, because his father having ordered him to be killed as soon as he was born,
he was exposed by his mother's desire on the mountain Cithaeron; where he was suspended by his feet to a tree, and in that situation was found by one of the shepherds of Polybius, king of Corinth, whose wife Periboea having no children, educated him as her own child. He afterwards, according
to the oracle, unknowingly killed his father, and married his mother Jocasta, and having rid the country of Thebes of the Sphynx by resolving the enigma which was proposed to him, as a reward he obtained the Theban throne; but as soon as the fatal discovery was made which unveiled to him his crime and his misfortunes, he put out his own eyes; and retiring to Attica, led by his daughter Antigone, he was swallowed up, according to an oracle, by the earth opening, near Colonos, where there was a grove sacred to the Furies. The story of Oedipus has been made the subject of more than one tragedy by Sophocles, Euripides, and Seneca. ",Crabb,"Hom. Odyss. 1.2; Hesiod. Theog.; Pind. Olymp.; Apollod. 1.3; Hygin. Fab. 66, &c.; Schol. in Soph., Eurip. Pindar, &c.","435, Vol 2"
140,"Magnus, Olaus","Brother to the preceding, and his successor of the see of Upsal, died in 1555, after displaying no less
zeal against the innovations that were then set on foot on pretence of reformation. He was the author of 'Epitome Historite de Gentibus Septentrionalibus,' 4to. Antv. 1558, fol. Venet. 1565, Bas. 1567, &c.",Crabb,,"301, Vol 2"
141,Olympus,"A poet and musician of Mysia, son of Maeon,
and disciple to Marsyas, who lived before the Trojan war.",Crabb,Plut. de Leg. 1.3; Aristoph. in Equit.; Aristot. Pol. 1.8; Hygin. Fab.,"440, Vol 2"
142,Onias,"high-priest of the Jews, .son and successor of Jeddoa, or Jaddas, was raised to the priesthood,
A. M. 3682, A. C. 320, and governed for 20 years. ",Crabb,Joseph. Antiq. 1.11.,"441, Vol 2"
143,Onasander,"A Platonic philosopher, who lived under the Roman emperors, and, as is conjectured, in the time of Claudius and Xero. His book, entitled 'Strategicus, seu de Imperatoris Institutione,' was first published in the Greek, with a Latin translation by Nicolaus Rigault, 4to. Paris. 1599; but the reprint by Aemilius Portus in 1600 is preferred. An edition by Schwebelius, fol. Norimb. 1762, is also esteemed. This work has been translated into Italian, French, and Spanish.",Crabb,,"441, Vol 2"
144,"Orange, William, Prince of","Of the house of Nassau, was born in 1533, and, being elected governor of the United Provinces, was one of the principal leaders of the party that revolted against the power of Spain, and, after havng rendered himself formidable by his military prowess and valour, he was cut off by the hand of an
assassin named Balthazar Gerard, who shot him in his own house in 1584.",Crabb,,"443, Vol 2"
145,Ordogno II,"Second son of Alphonso III, succeeded his brother Garcias in 914, and died in 923, when he was succeeded by Alphonso IV.",Crabb,,"444, Vol 2"
146,"Organa, Andrew","An Italian piainter and sculptor, architect and poet, of Florence, died in 1389 aged 60, leaving
several works, which are preserved at Pisa.",Crabb,,"444, Vol 2"
147,Odoacer,"A king of the Heruli, who destroyed the western empire of Rome, and called himself king of Italy, A.D. 476",Crabb,,"434, Vol 2"
148,"Vitalis, Odericus","An english historian, was born 1075, and was living in 1143. His 'Historiae Ecclesiasticae Lib. XIII, &c. was published by Duchesne in his 'Scriptores Normanni'.",Crabb,,"645, Vol 2"
149,Valdemar,"Succeeded Canute VI in 1157, and died in 1185, when he was succeeded by Canute V.",Crabb,,"635, Vol 2"
150,Valentinus,"Author of the heretical sect called Valentinians, was an Egyptian by birth, and having been dissapointed in a bishopric to which he aspired, he began to propagate a set of new doctrines which he framed from the Heathen mythology mingled with the mysteries of the gopel. The rise of his heresy was in the reign of Adrian, and he himself died about A.D. 160. Ireneaus was the principal writer against Valentinus, and was followed by Tertullian, Clemens Alexandrinus, and others.",Crabb,,"636, Vol 2"
151,"Venantius, Honorius Clementianus Fortunatus","A christian poet of the sixth century, who died about 609, wrote several pieces of elegiac poetry, some hymns, &c. of which several editions have been published at different times: that of Rome, under the title of 'Venantii Opera Omnia,' &c. 2 vols. 4to. 1786, is the most complete.",Crabb,,"639, Vol 2"
152,"Verrius, Flaccus","A grammarian, and tutor to the two grandsons of Augustus, is the supposed author of the Capitoline Marbles. Aul. Gell. 1. 4; Plin. 1. 7; Sueton. de Clar. Grammat.",Crabb,,"627, Vol 1"
153,"Victorinus, or Claudius Marius Victor","A rhetorician of Marseilles in the fifth century, was the author of a poem on the history of Genesis as far as the destrcutuioon of Sodom, and also of an epistle in verse, in which he relates the irruptions of the Vandals, and other barbarians.",Crabb,,"642, Vol 2"
154,"Victorinus, Marcus Aurelius Piauvonius","One of the tyrants of Rome, reigned with Posthumus in Gaul, and was assasinated in 268 by one of his oficers, whose wife he had violated. His son, M. Aurelius Victorinus, his partner in the empire, shared his fate at the same time. ",Crabb,Trebell. Poll. Trigint. Tyran.,"642, Vol 2"
155,Orodes,"A prince of Parthia, who ascended the throne after the murder of his brother Mithridates, and was strangled by his own son Phraates, about 37 years A. C. He followed the interests of Brutus and Cassius at the battle of Pbilippi. ",Crabb,"Cic. ad Fam. 1.15, ep. 1; Palerc. 1.2; Liv, in Epit. 106; Dio. 1.40; Flor. 1.3; Serv. in Aen. 1.2.","446, Vol 2"
156,"Othman, Ebn Offan","Third caliph of the Musselmen, succeeded Omar in the year of the Hegira 23, A. D. 633, and died after a reign of twelve years, during which he added many countries to his dominions, which were conquered by his generals.",Crabb,,"449, Vol 2"
157,"Othman, or Ozman","First khan or sultan of the Turks, assumed the government and title in the year of the Hegira 699, A. D. 1309, which is properly the era of the Ottoman empire, and died at the age of 69, after a reign of 26 years.",Crabb,,"449, Vol 2"
158,Otho of Frisingen,"So called because he was bishop of that city in Germany, died in 1158, leaving a Chronicle in seven
books, and a Life of the emperor Frederick Barbarossa, both of which may be found in the collections of Pistorius, Muratori, &c.",Crabb,,"450, Vol 2"
159,"Paschasius, Ratbert","A Benedictine of the ninth century, who died in 865, was the author of several theological
works, published by P. Sirmond, fol. 1618. In his treatise, 'De Corpore Christi,' he is said to have broached the doctrine of transubstantiation.",Crabb,,"464, Vol 2"
160,"Paul, Father called in Italian Fra Paolo","A writer, whose fiimdy name was Sarpi, is now known by his History of the Council of Trent, which has been much admired by Protestants; but its authenticity and correctness have been called in question by the Roman Catholics. He also wrote other things, which together were published under the title of 'Tutte le sue Opere, con un Supplemento,' 8 vols. 4to. 1761-68; and another at Naples, in 24 vols. 8vo. 1790.",Crabb,,"467, Vol 2"
161,"Paulus, Diaconus","An historian, so called because he had been a deacon of the church of Friuli, who died in 799, wrote 'De Origine et Rebus gestis Longobardorum,' fol. Paris. 1514, and also inserted in Muratori's Collection. To him is also ascribed, but on doubtful authority, 'Historiae Miscellae,' 8vo. Bas. 1569; and 'De Gestis Romanorum,' &c. 8vo. Paris. 1531.",Crabb,,"468, Vol 2"
162,"Peiresc, Nicolas Claude Fabri de ","A French scholar and patron of literature, descended from an ancient and noble family of Pisa, was born in 1580, and died in 1637. His Life was written by Gassendi, and of his writings, there have been published 48 Letters in Italian to Paul and John Baptist Gualdo, in the 'Letteri d'Uomini Illustri,'
besides a number of Letters among those of Camden.",Crabb,,"470, Vol 2"
163,Pekah,"Son of Remaliah, general of the army of Pekahiah, king of Israel, who conspired against his master, slew him and seized his throne, but was slain in his turn by Hoshea, son of Elah, who reigned in his stead.
",Crabb,2 Kings. XV. 25.,"460, Vol 2"
164,Pelasgi,"A people of Greece, supposed to be one of the most ancient people in the world who first inhabited Argolis, in Peloponnesus, about 1883 years before the Christian era, which was thence named Pelasgia. They are supposed to have derived their name from Pelasgus, a son of Terra, or of Jupiter and Niobe, who was their first king, and the founder of their kingdom. ",Crabb,Herodot. 1. 1; Apollod. 1. 3; Virg. Aen. 1. 1; Ovid. Met. 1. 7; Senec. in Med. &c.,"470, Vol 2"
165,"Pelham, Henry","Second son of the first lord Pelham, and brother to Thomas, first duke of Newcastle, was constituted
Secretary of War in 1724, first Lord Commissioner of the Treasury in 1743, and in the same year Chancellor and Treasurer of the Exchequer, and after acting as one of the Lords Justices during his Majesty's absence in 1740, 1743, 1745, 1750, and 1752, he died at the age of 60, in 1754, being highly respected by the wliigs, whose party he kept united by his influence.",Crabb,,"470, Vol 2"
166,Pelops,"A son of Tantalus, king of Phrygia, who is said to have been killed and set before the deities
when they visited Phrygia, but was tasted by none except Ceres, who, being melancholy and inattentive, ate a part of his shoulder. Jupiter afterwards restored him to life, and supplied the shoulder that had been eaten by an ivory one.",Crabb,,"471, Vol 2"
167,Pepin I,"Son of Louis le Debonnaire, was made king in 817, headed the conspiracy against his father in 830, and died in 838.",Crabb,,"473, Vol 2"
168,"Peter, Chrysologus","Archbishop of Ravenna in 433, died in 458, leaving several works, which were edited in fol. Venet. 1750, and August. 1758.",Crabb,,"480, Vol 2"
169,Phalanthus,"The leader of the Parthenie, who formed a settlement in Italy, and founded Tarentum. He received divine honours after his death.",Crabb,"Horat. 1. 2, od. 6; Justin. 1. 3; Paus. 1. 10, &c.","483, Vol 2"
170,Philip II,"Fourth son of Amyntas, and father of Alexander the Great, who is commonly styled Philip of Macedon, succeeded his brother, Perdiccas III, A. C. 359, and was stabbed by Pausanias in the 47th year of his age, and 24th of his reign, A. C. 336, after having distinguished himself by his conquest of Greece. [Vide Plate V].",Crabb,Demosth. in Phil. et Olynth.; Isocrat. ad Phil.; Diod. 1.16; Paus. Boet. &c.,"484, Vol 2"
171,Philippicus surnamed Bardanes,"Conspired against Justinian, and his son Tiberius Absimarus, and having put them to death, he seized the empire in 711; but was exiled after a reign of two years, and died in prison, as is said of hunger.",Crabb,,"485, Vol 2"
172,Abibalus,"The father of Hiram, king of Tyre, and friend of Solomon. He is the oldest Tyrian king of whom mention is made in history; Josephys quotes the Tyrian Annals, Menander, and Dio respecting him and his son.",Crabb,"Joseph. Ant. 1. 8, c.5, & 3; Contra Appion. 1. 1. ","22, Vol 1"
173,Acusilaus,"A Greek historian, the son of Cabas, who lived, according to Josephus, before the expedition of Darius against Greece. He wrote 'Περί τών γενεαλογιών', i.e. concerning the genealogies of the principal families, of which only fragments are preserved, that have been published with those of Pherecydes, by M. Sturz, 8vo. Gera, 1798.",Crabb,"Dionys. Hal. de Thuscyd. Char.; Joseph. contra Apion. 1. 1; D. Diogen. Laert. 1. 1, c. 40; Voss. de Hist. Graec. 1. 4, c. 2","47, Vol 1"
174,Adodo'ddawla,"Son of Rucni'ddawla, succeeded his uncle Amado'ddawla on the Persian throne, in the year of the Hegira 338, A.D. 948, and died after a reign of 34 years.",Crabb,Abul. Faraj'. Dynast.,"47, Vol 1"
175,Aegialeus I,"The son of Adrastus and Demoanassa, was killed at the first Theban war of the epigoni. His six brothers returned victorious.",Crabb,"Apollod. 1. 1, e. 9, &c.; Paus. 1. 1, c. 43, &c.; Hygin. Fab. 71.","60, Vol 1"
176,Alahis,"One of the thirty-six administrators during the interregnum in the kingdom of Lombardy. He afterwards rebelled against his sovereign, and was killed.",Crabb,,"93, Vol 1"
177,Alain de Lisle,"A divine of Paris, was surnamed the Universal Doctor, on account of his universal learning. He is supposed to have died a the end of the thirteenth century; but his works, which are principally theological, were not published before 1653.",Crabb,,"93, Vol 1"
178,Alphonsus VI surnamed the the Bold,"Reigned 43 years, in which time he took Toledo and many cities from the Moors. Cid and Rodrigo lived during his reign. He died at Toledo aged 70, A.D. 1109.",Crabb,"Roder. de Tol. 1. 6, c.21, et seq.; Marian. 1. 9, c.11, et seq.","130, Vol 1"
179,Alphonsus X surnamed the Wise,"Succeeded his father Ferdinand III, A.D. 1252. He was the author of the Alphonsine Tables, and died after a reign of 32 years. [Vide Plate V.]",Crabb,Roderic. Mariana. Genebrard. &c.,"130, Vol 1"
180,Antipater,"A philosopher of Tarsus, to whom are ascribed two treatises on Superstition, and one on Anger. ",Crabb,"Cic. Acad. 1. 4, c. 6; Strab. 1. 14; Athen. 1. 8, c. 8; Diogen. Laert. in Zen.; Voss. de Hist. Graec. 1. 3.","183, Vol 1"
181,Anthony St,"The founder of the monastic life, was born in 251 at Coma, a village of Egypt, and died in 356, in the 19th year of the emperor Constantius. To this saint was ascribed the power of working miracles, and curing the disorder well known as St. Anthony's Fire, or Erysipelas. His Life was written by St. Athanasius, and seven letters of his are extant in the 'Bibliotheca Patrum.'",Crabb,"Gregor. Nazan. Orat. 21; S. Athanas. in Vit.; S. Chrysostom. Hom. 8, in Math. &c.; Socrat. Hist. Eccles. 1. 4; St. August. Confess. 1. 8, c. 8; Hierom. de Script. Sanct.; Sozom. Hist. Eccles. 1. 2. &c.","177, Vol 1"
182,Apollonius of Rhodes,"So called because he lived there a long time, though originally of Alexandria, was the son of Ileus, or Sillius, a disciple of Callimachus, the poet, third librarian in the Alexandrian library under Ptolemy Evergetes, and author of a poem entitled, 'Argonautica,' of which the best editions are Shaw's 4to. Oxon. 1777, 8vo. 1779; and Bunck's 12mo. 1780.",Crabb,"Strab. 1. 14; Quintil. 1. 10, c. 1; Long. de Sublim.; Girald. de Poet. Hist. 1. 3; Voss. de Poet. Gr. 1. 1, c. 16, &c.","195, Vol 1"
183,Arator,"A poet of the sixth century, and secretary to King Athalaric, was sent ambassador to Justinian in 527. He put the Acts of Apostles into verse.",Crabb,Cassiodor. Var. 1. 8; Sigebert. de Script. Eccles.; Mir. Bibl. Eccles.,"203, Vol 1"
184,Archias,"An Corinthian, descended from Hercules, who is said to have founded Syracuse, A. C. 732.",Crabb,Dionys. Hal. 1. 2.,"206, Vol 1"
185,"Alexius, Aristinus","A deacon of Constantinople, was present at the council of 1166, which cited Nicephorus, a patriarch of the Jews. He wrote 'Annotations on a Collection of Canons.'",Crabb,,"120, Vol 1"
186,Aristophanes,"A grammarian of Byzantium, and keeper of the Alexandrine library under Ptolemy Evergetes, after Callimachus, wrote several works, which are quoted by the ancients.",Crabb,Athen. 1. 9; Diogen. Laert. in Plat. Suidas.,"221, Vol 1"
187,Aristillus,"An astronomer, who about 300 A.C. attempted to determine the place of the different stars in the heavens, and to trace the course of the planets.",Crabb,"Ptol. Almag. 1. 7, c. 3, &c.","219, Vol 1"
188,"Arnaud, de Mereuil","A poet of Provence, who was intimate with Petrarch. He wrote many poems, and among others one entitled 'Las Recastenas de sa Comtessa.'",Crabb,,"224, Vol 1"
189,Artemon," A historian of Clazomene, and companion of Pericles, at the siege of Samos; is said to have invented the battering ram.",Crabb,Aelian. de Anim. 1. 12; Schol. in Pind. Olymp.; Serv. in Aen.,"232, Vol 1"
